Height(m),Height Err(m),T0(s),T0 err(s),Tf(s),Tf err(s)
1.5,0.1,11.738,0.02,12.27,0.02
1.5,0.1,15.695,0.02,16.227,0.02
1.5,0.1,19.186,0.02,19.718,0.02
1.5,0.1,22.179,0.02,22.711,0.02
1.5,0.1,25.604,0.02,26.136,0.02
1.5,0.1,28.663,0.02,29.195,0.02
1.5,0.1,31.589,0.02,32.154,0.02
1.5,0.1,34.848,0.02,35.38,0.02
1.5,0.1,37.807,0.02,38.339,0.02
1.5,0.1,41.265,0.02,41.831,0.02
1.6,0.1,44.391,0.02,44.923,0.02
1.6,0.1,47.118,0.02,47.683,0.02
1.6,0.1,49.878,0.02,50.41,0.02
1.6,0.1,52.505,0.02,53.07,0.02
1.6,0.1,55.464,0.02,55.996,0.02
1.6,0.1,58.39,0.02,58.922,0.02
1.6,0.1,1.083,0.02,1.649,0.02
1.6,0.1,3.91,0.02,4.475,0.02
1.6,0.1,6.603,0.02,7.168,0.02
1.6,0.1,9.696,0.02,10.261,0.02
1.7,0.1,12.921,0.02,13.486,0.02
1.7,0.1,15.681,0.02,16.279,0.02
1.7,0.1,18.308,0.02,18.873,0.02
1.7,0.1,21.068,0.02,21.666,0.02
1.7,0.1,23.927,0.02,24.526,0.02
1.7,0.1,26.853,0.02,27.419,0.02
1.7,0.1,30.112,0.02,30.711,0.02
1.7,0.1,32.772,0.02,33.371,0.02
1.7,0.1,35.366,0.02,35.965,0.02
1.7,0.1,37.893,0.02,38.492,0.02
1.8,0.1,40.553,0.02,41.152,0.02
1.8,0.1,44.843,0.02,45.441,0.02
1.8,0.1,50.856,0.02,51.493,0.02
1.8,0.1,53.854,0.02,54.452,0.02
1.8,0.1,56.381,0.02,56.946,0.02
1.8,0.1,58.875,0.02,59.507,0.02
1.8,0.1,1.601,0.02,2.233,0.02
1.8,0.1,4.893,0.02,5.492,0.02
1.8,0.1,7.753,0.02,8.385,0.02
1.8,0.1,10.579,0.02,11.178,0.02
1.9,0.1,13.472,0.02,14.071,0.02
1.9,0.1,16.432,0.02,17.03,0.02
1.9,0.1,19.192,0.02,19.823,0.02
1.9,0.1,22.151,0.02,22.749,0.02
1.9,0.1,24.778,0.02,25.41,0.02
1.9,0.1,27.471,0.02,28.103,0.02
1.9,0.1,30.331,0.02,30.963,0.02
1.9,0.1,33.024,0.02,33.656,0.02
1.9,0.1,35.784,0.02,36.416,0.02
1.9,0.1,38.411,0.02,39.043,0.02
2,0.1,40.917,0.02,41.603,0.02
2,0.1,43.698,0.02,44.33,0.02
2,0.1,46.525,0.02,47.156,0.02
2,0.1,49.351,0.02,50.016,0.02
2,0.1,51.945,0.02,52.576,0.02
2,0.1,54.505,0.02,55.137,0.02
2,0.1,57.098,0.02,57.763,0.02
2,0.1,59.592,0.02,60.257,0.02
2,0.1,1.986,0.02,2.652,0.02
2,0.1,4.846,0.02,5.478,0.02